wavelength,ethyl_red,procaine,malvidine,caffeine,allura_red
222,0.54386941,0.66872779,0.989180108,0.19373267,1.349070445
223,0.523805632,0.587900788,0.947719992,0.20668676,1.312190922
224,0.495743871,0.686625536,0.91637968,0.2399834,1.288643059
225,0.47645918,0.666021589,0.886119127,0.251176598,1.273636576
226,0.443759501,0.643093854,0.852649165,0.297864633,1.260370089
227,0.413664861,0.623660479,0.816383167,0.314020629,1.258645805
228,0.384914485,0.591371436,0.797586068,0.377783632,1.259550899
229,0.354083255,0.560536944,0.77682045,0.404923019,1.256804965
230,0.336466888,0.519946459,0.757143515,0.435429693,1.259653545
231,0.308266891,0.482636906,0.743594716,0.493745947,1.266826865
232,0.290409807,0.437723917,0.723248083,0.553175248,1.269630556
233,0.270392476,0.39398568,0.700464182,0.604429647,1.277147916
234,0.254431055,0.352897191,0.682701738,0.633041715,1.283603827
235,0.24185749,0.315183356,0.672927328,0.674052954,1.29270846
236,0.228877636,0.272593078,0.660778993,0.695247375,1.299127257
237,0.218440288,0.239170065,0.644948794,0.695000347,1.287096146
238,0.210364522,0.218426638,0.624043527,0.694054485,1.276679723
239,0.208403708,0.192208619,0.611048643,0.681172773,1.26925686
240,0.202041262,0.177893348,0.599706089,0.653430679,1.25218806
241,0.195281568,0.157557978,0.581992461,0.623413643,1.238597855
242,0.190697933,0.151551606,0.567576247,0.579117688,1.218409679
243,0.179760266,0.150692303,0.555734246,0.532726468,1.207866334
244,0.174376471,0.143759307,0.539253762,0.457877544,1.184530789
245,0.168296001,0.145943945,0.521343048,0.41346465,1.166645688
246,0.165040609,0.143515581,0.514524117,0.322744401,1.142118848
247,0.163693535,0.148693676,0.500758719,0.260711354,1.107753129
248,0.156646147,0.157922301,0.490971566,0.213934618,1.06174296
249,0.152020876,0.166151926,0.483519909,0.135432344,1.014718384
250,0.156041797,0.180124774,0.47660629,0.076826627,0.961479307
251,0.148912721,0.192381445,0.475329375,0.049957656,0.900855413
252,0.153961181,0.198107028,0.480542236,0.034156878,0.849908032
253,0.155244333,0.21110409,0.482871281,0.020500646,0.801144834
254,0.160051713,0.226841914,0.497021954,0.014399259,0.76410574
255,0.15885913,0.245300672,0.507663359,0.005804239,0.731465009
256,0.165164783,0.265147222,0.523620571,0.007715203,0.69982348
257,0.167325453,0.279029615,0.539699596,0.007584326,0.680789808
258,0.173285544,0.301809137,0.562859572,0.008064519,0.665832894
259,0.176933809,0.328980074,0.578339413,0.002511311,0.657515782
260,0.180927887,0.358563207,0.599236455,0.003102475,0.651431671
261,0.184596465,0.38475519,0.616718119,-0.000320197,0.646594126
262,0.186449,0.413075126,0.632983414,0.002980543,0.645573259
263,0.190947157,0.441332249,0.659851838,0.001393842,0.641916799
264,0.194326955,0.468100139,0.673016455,0.003275388,0.640005009
265,0.200567933,0.500901251,0.682990554,-0.001275546,0.638455303
266,0.204987728,0.532730384,0.706706169,0.001334971,0.63904772
267,0.208422907,0.579718202,0.703173015,0.001659298,0.634079467
268,0.216801743,0.633295726,0.726865488,-0.00044031,0.63159308
269,0.225497107,0.656048533,0.73352207,-0.000188752,0.63217327
270,0.233164455,0.692939513,0.746690525,0.001268204,0.625220036
271,0.240087216,0.717102335,0.712212791,-0.000390274,0.615833218
272,0.244108322,0.762377473,0.716198821,-0.001309836,0.60420611
273,0.253888587,0.826904493,0.712232552,0.000907793,0.592230514
274,0.259472376,0.839718514,0.681346483,-0.001285531,0.576199275
275,0.267145721,0.867946216,0.65860516,-0.000410235,0.559068656
276,0.276469935,0.87743748,0.630116183,0.00324125,0.534256812
277,0.278555052,0.934147554,0.603476617,0.000607304,0.509641894
278,0.305718076,0.983805033,0.572684408,-1.92518E-05,0.488092606
279,0.285168917,1.021012055,0.544465978,-1.43225E-05,0.474466443
280,0.324489357,1.047348723,0.519056992,0.001350596,0.452422709
281,0.303983117,1.07733614,0.486429866,-0.001674011,0.437869567
282,0.334407831,1.110053837,0.451594215,-0.00234697,0.426841885
283,0.339379677,1.139125008,0.41869443,0.000160195,0.411714784
284,0.343851289,1.163375709,0.399413778,-0.000312922,0.399260845
285,0.340442547,1.188827938,0.380153228,0.001555521,0.390642339
286,0.334855827,1.205673574,0.355933939,0.002983288,0.380267117
287,0.33266205,1.232691276,0.341960063,0.003344843,0.377899272
288,0.33056805,1.257531047,0.325828882,-0.002415293,0.370302493
289,0.353395939,1.275813308,0.306809373,0.002239266,0.367051025
290,0.347922786,1.292348312,0.30119503,-0.001542496,0.362915902
291,0.349980834,1.311599196,0.292542254,-0.000975609,0.364731745
292,0.357510105,1.322922559,0.282852293,0.000799211,0.36290109
293,0.344564444,1.337097661,0.274960779,-8.31452E-05,0.359698879
294,0.332898604,1.341238226,0.265057649,-0.002557613,0.366165404
295,0.33546966,1.340610175,0.256151612,0.003032832,0.368875149
296,0.332653604,1.334979819,0.249679702,-0.002029887,0.371315267
297,0.326774632,1.32648341,0.240710673,0.001637152,0.375578465
298,0.33329693,1.306604658,0.234476921,-0.002791278,0.386821405
299,0.322110874,1.286831742,0.222860916,-7.11971E-05,0.393835258
300,0.310332266,1.263619041,0.215784916,0.001700256,0.407630779
301,0.300672731,1.224912522,0.205502075,-0.002201246,0.417679039
302,0.285384135,1.179642917,0.198612768,0.002395543,0.425486129
303,0.267479935,1.132247334,0.18566271,0.003142626,0.437852492
304,0.24406955,1.074380589,0.174245202,-1.97972E-05,0.445088197
305,0.247810135,1.029377711,0.162875917,0.002197736,0.463516943
306,0.217316874,0.972130192,0.151149735,-0.001449446,0.475029888
307,0.211079202,0.909626772,0.140599616,-0.001759486,0.485381569
308,0.199918479,0.841036666,0.125350934,-0.002550095,0.49273575
309,0.195176995,0.779978839,0.116127973,-0.003106281,0.500511416
310,0.191547274,0.715930024,0.10240072,0.000908609,0.505681243
311,0.188450298,0.650480817,0.09820034,0.001398025,0.510216881
312,0.192614116,0.590535168,0.092458176,-0.001405458,0.517203492
313,0.186212349,0.530833894,0.083627652,-0.00089245,0.523400052
314,0.190682505,0.475206238,0.082922173,0.001777842,0.523177464
315,0.191895405,0.421108871,0.077636186,-0.001681695,0.524997879
316,0.192129948,0.369917559,0.073276789,-0.002044277,0.5206213
317,0.188321299,0.316624963,0.076039623,0.002944739,0.518764398
318,0.187298506,0.282592751,0.073701137,-0.002468571,0.512521383
319,0.188590995,0.247594737,0.075087535,0.000461696,0.50573289
320,0.192252434,0.219722471,0.071270012,0.001855821,0.503992515
321,0.187585694,0.191188309,0.074609536,0.001401896,0.493681355
322,0.190874328,0.172013901,0.081597338,-0.002529689,0.480513945
323,0.19059504,0.151205421,0.075866691,0.001199526,0.468082686
324,0.18661328,0.132071742,0.080540873,-0.000925844,0.45030602
325,0.191311574,0.11941051,0.080291295,-0.000497129,0.436150704
326,0.186667613,0.108854003,0.085243178,0.002365024,0.422616599
327,0.187376516,0.09754278,0.086256877,0.001804089,0.401817972
328,0.189524091,0.09608959,0.086333257,0.000352378,0.3884384
329,0.184516212,0.084276191,0.086017921,-0.002515005,0.369785829
330,0.185731066,0.080898559,0.090730597,-0.002429007,0.347088452
331,0.186594137,0.079545049,0.089935604,0.003242142,0.334247006
332,0.180341096,0.073758299,0.09348901,0.00057325,0.314636319
333,0.182146017,0.070916705,0.096298867,-0.001200264,0.297013354
334,0.17614088,0.073539076,0.094844461,-0.000754629,0.285851953
335,0.171548237,0.071121418,0.097189763,0.001512328,0.273035389
336,0.174198179,0.068897839,0.098227435,-0.002975538,0.260217498
337,0.170739181,0.066466228,0.097219722,0.00250538,0.247980781
338,0.165205664,0.067569765,0.099228791,0.00131381,0.239259467
339,0.164002679,0.065661741,0.103484674,-0.003248246,0.22987332
340,0.161479305,0.070090147,0.107775527,-0.001660454,0.224776964
341,0.15710847,0.069939176,0.103650028,0.000128445,0.223492695
342,0.155203167,0.064938268,0.101614959,-0.002730291,0.216441058
343,0.152834221,0.064686387,0.106069283,0.003013744,0.207560854
344,0.150037762,0.070587023,0.108117018,-0.002838064,0.208124506
345,0.14039648,0.069702372,0.110547865,-0.001380659,0.205363689
346,0.138593568,0.065457828,0.10891073,-0.001051282,0.203202143
347,0.141975333,0.061977498,0.111788269,-0.00261287,0.201925899
348,0.135792247,0.064727066,0.107241591,0.000767311,0.203755999
349,0.133559258,0.060687812,0.10499423,0.000628293,0.200295115
350,0.129639275,0.059144959,0.106347976,0.000530244,0.19478106
351,0.122305376,0.064423304,0.103728037,-0.002795219,0.195926158
352,0.119620732,0.062052886,0.101862646,0.0005685,0.197640132
353,0.117372984,0.063200689,0.107497026,0.003074826,0.201377635
354,0.11327711,0.061471158,0.102388798,-0.000458637,0.198467525
355,0.110228118,0.064855182,0.103771386,-0.000784749,0.19841853
356,0.106945815,0.059394354,0.101863747,0.001121064,0.205577835
357,0.103828369,0.06291427,0.100285399,0.002064127,0.203866511
358,0.099197648,0.061953355,0.095289455,0.000167231,0.205953726
359,0.096556749,0.063109578,0.092738349,-0.000200834,0.211786636
360,0.094352874,0.062309021,0.095020727,-0.001721591,0.209675224
361,0.089215044,0.064564068,0.097427632,-0.001683508,0.21558307
362,0.08812473,0.064151178,0.089655992,0.002874526,0.216502342
363,0.083928381,0.060409779,0.08809587,-0.000154438,0.220736471
364,0.076371267,0.064607509,0.086521582,-0.001658075,0.226170492
365,0.076426232,0.064559797,0.091544179,-0.003035236,0.224756582
366,0.07512797,0.061988448,0.088724352,0.000919309,0.230009578
367,0.080268259,0.060495133,0.092425878,0.002335788,0.232501784
368,0.073575991,0.061700883,0.097656686,-0.000221382,0.234174956
369,0.072280143,0.059713952,0.099410194,0.001639019,0.238841045
370,0.069374001,0.061022087,0.1023065,-0.000180752,0.245726078
371,0.069264975,0.06417874,0.098253564,0.001257143,0.243816597
372,0.066029141,0.060370055,0.104513442,0.001100908,0.251259705
373,0.070250791,0.062975465,0.106366586,0.000141484,0.255754471
374,0.065126843,0.059388097,0.105843079,-7.93249E-05,0.256206738
375,0.069231488,0.064564817,0.108046511,0.000603972,0.261512209
376,0.067569267,0.059325121,0.116330451,-0.000718948,0.267579967
377,0.064608683,0.058589286,0.112881259,0.001701745,0.27078913
378,0.065219568,0.064036226,0.118267244,5.27855E-05,0.269786834
379,0.060625614,0.060849465,0.117756455,0.003255274,0.274762262
380,0.064459721,0.061454522,0.124311014,0.001036869,0.276613844
381,0.064344762,0.062808915,0.130752489,-0.001582576,0.285224848
382,0.061529493,0.06216898,0.131209183,0.00295466,0.289050157
383,0.065084663,0.059466152,0.133796902,8.06071E-05,0.29160967
384,0.065385898,0.06360603,0.137704923,0.001380672,0.294377802
385,0.066069438,0.063398696,0.144088708,-0.000943062,0.296011041
386,0.064176751,0.059033427,0.146118738,0.001609108,0.301727192
387,0.062187828,0.060555078,0.146524946,-0.001329578,0.305514923
388,0.062635679,0.060948048,0.15238549,-0.002535459,0.309564228
389,0.065381493,0.06022289,0.16014593,0.001687919,0.308594303
390,0.066556424,0.060383807,0.164168311,-0.000686977,0.313003506
391,0.066172335,0.06325995,0.163898731,-0.001507469,0.316335377
392,0.068391848,0.058774518,0.171999024,0.001515448,0.323903816
393,0.069593776,0.063909448,0.17859718,0.000506983,0.33039188
394,0.069144795,0.060171971,0.181203795,0.002753781,0.332779814
395,0.071300648,0.059399031,0.17923687,-0.003201363,0.335421962
396,0.072341389,0.063827327,0.190132616,-0.001524616,0.330423928
397,0.072392116,0.065053876,0.193670648,-0.00127697,0.335648937
398,0.074444148,0.061418311,0.199024246,0.001833068,0.33887511
399,0.079927943,0.064591136,0.201048076,-0.00111185,0.34631769
400,0.077798648,0.064084915,0.206942566,0.001253574,0.35159009
401,0.079116962,0.059328783,0.208880245,0.000558313,0.351662849
402,0.080397457,0.062257091,0.218028092,-0.00228413,0.350370974
403,0.083992281,0.063563288,0.222476644,0.001271212,0.351784259
404,0.084836897,0.061865694,0.220896297,-0.001588178,0.356924916
405,0.088955477,0.060408069,0.229952232,-0.002609421,0.355530059
406,0.092590678,0.058762437,0.236430275,-0.002112663,0.361349134
407,0.093690444,0.061637571,0.238638792,-0.003229692,0.36559711
408,0.094922854,0.062142879,0.244543232,-0.002527223,0.367681743
409,0.100733742,0.063160712,0.253426551,-0.002937557,0.365436472
410,0.105339175,0.064896497,0.252566981,0.002286448,0.367462538
411,0.104078507,0.062850661,0.259244072,-0.002269542,0.37121146
412,0.104403311,0.060505053,0.266157626,0.000293712,0.377384771
413,0.112629726,0.063624804,0.273239127,-0.000164245,0.377301261
414,0.1131886,0.063285893,0.278307309,-0.002018908,0.380891887
415,0.123874883,0.058580536,0.285475633,0.001429631,0.385264859
416,0.122928103,0.061868739,0.289018938,0.001085342,0.385679857
417,0.128661779,0.062037046,0.292925438,0.001901589,0.38959179
418,0.134343895,0.063775225,0.299660686,0.002814669,0.393401381
419,0.136161045,0.063451851,0.30704126,0.000666206,0.394207665
420,0.138375455,0.065067742,0.308794013,-0.001711934,0.393213344
421,0.146063003,0.06286099,0.309156386,-0.00050834,0.399792206
422,0.149192845,0.059609116,0.314923875,0.001936853,0.398353863
423,0.155004917,0.060973192,0.323957436,-0.002371426,0.400335699
424,0.161602405,0.064680797,0.323500372,-0.000981343,0.408051851
425,0.168503104,0.059704342,0.32865473,0.002859099,0.40997649
426,0.174571854,0.06211039,0.335298533,-0.002536244,0.416472765
427,0.183962651,0.063761731,0.340073311,-0.001791565,0.418424031
428,0.183685998,0.063986444,0.340246133,0.001977292,0.423571484
429,0.19352691,0.06239135,0.345664692,-0.000643003,0.42472931
430,0.198312474,0.064645925,0.347667016,-0.002279898,0.431512428
431,0.207412922,0.059821885,0.351164689,0.001626891,0.431688946
432,0.214638473,0.058825045,0.356902547,0.00303206,0.441218551
433,0.225581594,0.061365526,0.356286302,0.001975142,0.439922175
434,0.230674396,0.064816194,0.359503816,0.002435491,0.444690976
435,0.241008969,0.063272098,0.368601776,0.003248494,0.444268818
436,0.248082567,0.064371176,0.36811226,-0.001621789,0.45058359
437,0.256895341,0.063904595,0.368697052,0.00096984,0.456805112
438,0.26425104,0.064556832,0.369622337,0.001242595,0.458877647
439,0.279217737,0.063633295,0.373603515,-0.001834476,0.460703535
440,0.289067052,0.058836473,0.372131895,-0.001012344,0.467440596
441,0.297530501,0.060681761,0.376109369,-0.000863494,0.471203874
442,0.308565071,0.064047255,0.377849957,0.000283253,0.473528291
443,0.322471328,0.061761294,0.378634719,-0.003191569,0.480702971
444,0.330057453,0.063414332,0.381443671,-0.000319288,0.482285705
445,0.342270819,0.059177735,0.382694427,8.57885E-05,0.491308566
446,0.35495733,0.063113174,0.381236551,-0.003147558,0.496299399
447,0.366134447,0.062960843,0.386917295,2.19443E-05,0.498535224
448,0.381993128,0.063056666,0.383792255,-0.000436033,0.503673077
449,0.397441208,0.059218339,0.38624675,0.00124085,0.513949162
450,0.413231447,0.058993547,0.383722574,0.002770439,0.519220707
451,0.427730742,0.061263367,0.384306643,0.001904076,0.527222283
452,0.44510135,0.058988776,0.387602132,-0.003201541,0.536643247
453,0.458683569,0.061193072,0.387163581,0.001618477,0.55219043
454,0.472543566,0.063628058,0.385364538,-0.003107076,0.558817683
455,0.492131766,0.060061662,0.389390656,-0.001586201,0.573361537
456,0.505090224,0.064576818,0.390746031,0.001602635,0.583028356
457,0.519537487,0.059479486,0.391411187,0.003267279,0.587298905
458,0.537738074,0.063471027,0.393526538,0.002360361,0.598035374
459,0.550354153,0.06140705,0.396255781,0.002344111,0.611933232
460,0.567819899,0.060372657,0.402160599,-0.002793494,0.62559106
461,0.590592217,0.061666117,0.410498162,-0.000952857,0.635841081
462,0.607434377,0.059290917,0.406725131,0.00179789,0.651374454
463,0.634389265,0.058838259,0.411896912,-0.000313092,0.663748442
464,0.657381602,0.063366081,0.418650948,0.00161876,0.67336033
465,0.673551326,0.059004231,0.424755169,0.002977622,0.687414783
466,0.690371836,0.058892107,0.429986799,-0.002750195,0.698267989
467,0.712926474,0.059097872,0.436489765,0.001787578,0.710093637
468,0.735324357,0.062533066,0.444755566,0.002251595,0.728380246
469,0.758241659,0.064760721,0.456019229,0.002950283,0.744214336
470,0.777632985,0.062881957,0.467982072,-0.002180019,0.756994784
471,0.805223387,0.062712703,0.477499439,0.000630009,0.767754582
472,0.827363982,0.062874511,0.490835588,-0.000316559,0.78123497
473,0.850637586,0.062696913,0.495855038,-0.000311258,0.795936858
474,0.878883032,0.058804113,0.510725683,0.00218735,0.815078933
475,0.903231557,0.060455592,0.521009792,-0.003130095,0.82410711
476,0.923149858,0.060302493,0.540522478,-0.000210577,0.837342063
477,0.94570623,0.063074372,0.558260904,-0.000374304,0.853168769
478,0.970918653,0.064725234,0.571678308,0.001962804,0.864984128
479,0.999234775,0.064690183,0.58257954,-0.001850876,0.883518557
480,1.020280327,0.064360892,0.601499269,0.000382093,0.898469264
481,1.048837282,0.058922469,0.619424499,0.002491045,0.910058033
482,0.001785129,-0.003007877,-0.001706316,0.002231738,0
483,0.000228057,-0.00318711,-0.000907034,-0.001105404,0
484,-0.002281224,-0.000523885,0.002891967,0.001883437,0
485,0.001438945,-0.001261964,-0.000863329,0.002192317,0
486,0.002126465,-0.002127218,-0.000475355,-0.003164335,0
487,0.001314393,0.002024948,0.000663642,-0.003006926,0
488,0.002902593,0.001771669,-0.002672233,-0.001166386,0
489,-0.000333897,-0.001727142,-0.002416933,-0.000135868,0
490,0.003236084,0.002013259,0.002765035,0.002472386,0
491,0.000477121,0.001351175,-0.000344332,-0.002505916,0
492,-0.002851388,-0.001565098,-0.001672913,-0.000527831,0
493,0.00032709,-0.000795533,0.001872705,-0.000181887,0
494,-0.001223959,-0.000766546,0.001447477,-0.00086333,0
495,-0.00030315,-0.001787607,-0.00183033,-0.001206119,0
496,-0.001284338,0.000197942,-0.001326161,0.000193018,0
497,-0.001061863,0.001493956,-0.000566997,-0.002836298,0
498,-0.001025562,-0.002610919,-0.000554612,-0.003119246,0
499,-0.000827705,-0.001733593,0.000126879,0.000967008,0
500,0.00025217,-0.000119758,-0.001486374,0.001246413,0
501,0.002977112,-0.002628445,0.000100498,-0.001128106,0
502,-0.000552845,-5.44027E-05,-0.001684688,0.003077902,0
503,-0.002473458,0.000395197,-0.000679812,0.002575752,0
504,0.002397204,0.002353147,0.002403442,-0.001065205,0
505,0.002660551,-0.001333337,-0.002110294,-0.000905165,0
506,-0.000727989,0.001008722,-0.001418557,-0.001220154,0
507,0.00308586,-0.002919851,0.003079876,0.001653744,0
508,0.002491726,-0.000757062,0.001922092,4.40179E-05,0
509,0.003119952,0.002481951,-0.002470334,0.001784004,0
510,0.00068315,0.00090769,-0.001305832,-0.001000419,0
511,-0.00208802,-0.002972938,0.001969055,0.00086544,0
512,0.000533033,-0.001195494,0.002057373,-0.000750622,0
513,-0.002049158,-0.002811348,-0.002074547,0.002644159,0
514,0.00273589,0.003327077,-0.0029622,0.001776481,0
515,-0.000336479,0.000330869,-0.000290305,0.00113373,0
516,-0.001029292,0.001792649,-1.65356E-05,-0.002990217,0
517,0.001705815,8.35239E-05,-0.002648885,-0.002721521,0
518,-0.000605783,-0.000247248,0.001839365,-0.002237618,0
519,0.003280415,-0.000809756,0.00056445,0.001236471,0
520,0.001527981,-0.002619572,0.00297264,-0.001616703,0
521,-0.00108352,-0.003263759,-0.000887546,-0.000614412,0
522,0.001863855,0.000419862,0.001327004,0.002563911,0
523,-0.003160641,0.002691743,0.000911192,0.002986658,0
524,0.000818676,0.003168839,0.00225278,0.001255861,0
525,-0.001746815,0.002484674,0.000704513,0.000420468,0
526,-0.002589387,-0.001228782,-0.002020578,0.000252953,0
527,-0.001664432,-0.001652158,0.002235416,0.001928165,0
528,-0.000485537,-0.001292276,0.002165471,-0.003050521,0
529,0.000660096,0.002820585,0.00223467,-0.000158914,0
530,-0.002369297,0.000370562,0.000538038,-0.003324165,0
531,-0.002369989,-0.002843123,-0.002155982,0.002981942,0
532,-0.000675103,0.002318888,0.002334235,0.002627881,0
533,-0.003233098,0.003212621,-0.001564406,0.002368187,0
534,0.00020178,-0.001840937,0.000790864,0.00293561,0
535,0.002726047,-0.002975941,-0.000207595,0.001928122,0
536,-0.002440914,-0.000813661,-0.003255371,0.001715288,0
537,-0.000605563,-0.002014373,0.003292965,-0.002498992,0
538,0.001462934,0.000841702,0.000275261,0.002428651,0
539,0.003316976,0.000625256,0.003269305,0.002652386,0
540,-0.002241838,-0.000562419,-0.001173247,-0.00211322,0
541,0.002603844,-0.001087059,0.001433084,-0.000116105,0
542,0.001156629,-0.001464091,0.00223487,0.000416519,0
543,-0.002297837,-2.5512E-06,0.001024224,-0.00044844,0
544,0.003262007,-0.000736759,0.000841051,-0.001313577,0
545,-0.001730082,-0.001996468,0.000899452,0.000671805,0
546,-0.002357385,0.000821217,-0.001707091,-0.002689517,0
547,-0.000143098,0.001153824,0.001327877,0.002464494,0
548,-0.001125018,-0.002407001,-0.001368548,0.002232426,0
549,0.00319959,-0.000632326,-0.000846181,-0.002729448,0
550,-0.000319825,0.000252399,0.002288757,0.000341207,0
551,-0.00272365,0.001455227,-0.001497251,0.0016791,0
552,-0.002634851,-0.001843873,0.000609144,0.001132046,0
553,0.002277988,0.000784007,0.002319103,0.002513403,0
554,-3.91926E-05,-0.002447855,-0.001753013,0.000152665,0
555,-4.38699E-05,0.003142205,-0.002618892,-0.000791583,0
556,-0.002272263,0.001193677,0.001741402,-0.003250054,0
557,0.00144973,0.001457059,0.002708772,-0.001822184,0
558,0.002590016,-0.000443502,-0.001525054,0.001493614,0
559,-0.00170109,-0.002417535,-0.002405231,-0.001545591,0
560,0.002291061,0.001730617,0.002575396,-0.000201579,0
561,0.000934197,-0.00078653,-0.000902365,-0.00142679,0
562,-0.000409031,0.001699832,-0.000324885,-0.001491421,0
563,-0.001664531,0.000822375,0.003272652,-0.002401788,0
564,-0.001931302,-0.002203461,3.10189E-05,0.002136821,0
565,-0.000173407,-0.000994041,-0.000857752,0.001647904,0
566,-0.001360718,-0.001096953,-0.003231031,-0.000653802,0
567,-0.00301008,0.001166801,0.000530438,-0.001572186,0
568,0.00022886,0.001958254,0.003088079,0.000526474,0
569,-0.003057711,-0.000754367,0.001740947,0.002780712,0
570,0.003026809,-0.003072312,0.002193733,0.002348982,0
571,-0.00100192,-0.000662275,-0.001411667,0.001479497,0
572,-0.003164739,-0.002681261,0.002452552,0.002944863,0
573,-0.000983117,-0.002228174,0.002217782,0.002060166,0
574,-2.959E-05,0.000547442,0.001281732,0.000360523,0
575,0.002380109,0.003238591,-0.000920663,-0.000279884,0
576,0.003197232,-0.000216474,0.003075948,-0.00170601,0
577,-0.001336218,0.002649993,0.002875369,0.001144445,0
578,0.00325656,-0.001617392,0.002781398,-0.002213241,0
579,0.000600521,0.002155987,0.001840645,-0.000938058,0
580,0.002248956,-0.001980008,0.000733861,0.00029296,0
581,0.002637,0.001954666,-0.002088978,0.000624421,0
582,0.002464546,-0.001015953,-0.002191391,-0.001041269,0
583,-0.002713624,-0.001087134,0.001514991,0.00311921,0
584,0.000909181,-0.001795377,0.002987873,0.00224367,0
585,-0.002030324,-0.000803089,-0.003211646,-0.001015296,0
586,-2.67134E-05,0.001794903,-0.00114508,-0.000469962,0
587,0.001330213,0.001412677,-0.000872247,0.000607751,0
588,0.000423059,-0.001478827,-0.00324989,0.002593052,0
589,0.00227619,-3.0563E-05,0.002292523,-0.001898843,0
590,-0.000116645,-0.003097356,-0.002666586,0.002296962,0
591,0.00165197,-0.002172758,0.001282612,0.000549494,0
592,0.00240377,-0.00117665,0.001028114,0.002280353,0
593,0.001182434,0.000633544,0.000761463,-0.002126821,0
594,0.000216998,0.003254791,0.001701465,-0.002121764,0
595,-0.002333257,0.002505746,0.002590943,0.000445549,0
596,-0.001964118,0.001020767,-0.003019272,0.00257695,0
597,-0.001884227,0.000940278,-0.001598082,0.003173896,0
598,0.00100446,0.001081418,-0.002048547,-0.000126342,0
599,0.003072681,-0.001983379,0.002282974,-0.001322214,0
600,-0.001806008,0.001566662,0.002141812,0.002108568,0
601,-0.000625846,-0.002965568,0.001971871,-0.002765237,0
602,-0.000600495,-0.002059729,0.002260807,-0.0022678,0
603,-0.00271326,0.001851333,-0.000522335,0.003108008,0
604,-0.002451931,-0.001651412,0.000672206,0.001788764,0
605,-0.001619743,-0.001350612,0.000767745,-0.002486047,0
606,0.000371344,-0.002181241,-0.001655742,0.001780207,0
607,-0.001418601,0.00212602,0.00264509,0.000350671,0
608,-0.002155293,0.002308055,-0.001294513,0.003281259,0
609,3.57923E-06,0.003045109,-0.001554402,-0.001246008,0
610,0.001836815,-0.00217062,0.000401702,0.001732982,0
611,0.002886388,-0.000104799,0.000532348,0.002201842,0
612,0.00203171,-0.002288047,0.002397271,-0.001616107,0
613,-0.000295105,1.96346E-05,0.000883037,0.0021958,0
614,0.001426198,0.000320302,0.001144767,-0.000494548,0
615,-0.001887212,0.001579823,0.003024,0.002393328,0
616,0.000976199,0.00132749,-0.00030168,0.002834835,0
617,-0.001912002,0.001019955,0.000498296,-0.002970794,0
618,-0.002450057,0.0024748,-0.000504396,-0.003174127,0
619,0.000242108,-0.001137176,0.001559642,-0.001676624,0
620,-0.001470702,0.002228192,-0.000363898,-0.000956243,0
621,-0.001609182,0.003067825,-0.001559631,0.000674928,0
622,-0.000984972,0.0018704,0.002980144,-0.002181312,0
623,0.000406282,-0.00145341,-0.001274116,-1.86405E-05,0
624,-0.002501375,-0.003322836,-0.001309224,-0.001867516,0
625,-0.001747242,0.000975702,-0.000962986,-0.00060617,0
626,0.000681075,-0.000606464,-0.002194405,0.002693079,0
627,0.002287816,0.003216098,-0.002934378,-0.001574038,0
628,-0.00235025,-0.002814108,0.002763619,0.002365397,0
